שם העסק,סוג עסק,קטגוריה,כתובת,אזור,טלפון,טלפון נוסף,קישור מפות,השגחה נוספת,המוצרים בכשרויות,הערות,קישור לפרטי ההשגחה,קישור לתפריט,תמונה,סוכה,סטטוס
פלאפל הנשיא,פלאפל,פרווה,רח' הנשיא 10 (מול המשטרה),עפולה,04-659-0175,,,,,פרט לכרוב הכבוש שהינו בכשרויות אחרות. *אין אחריות על משלוחים והזמנות לאירועים מחוץ לעסק ללא תעודת כשרות יומית.*,https://mdafula.org.il/restaurant/80,,,,פעיל
קפה קפה - קניון העמקים,מסעדה,חלבי,"רח' יהושע חנקין 14, קניון העמקים",עפולה,04-640-4083,,,,,"תפריט מיוחד מותאם לאנ""ש — יש להקיש על ""תפריט בכשרות מהודרת"" בטאבלט או בתפריט המקוון. ישנם מוצרים אחדים שאינם מתאימים לאנ""ש, רצוי לברר אצל המלצרים.",https://mdafula.org.il/restaurant/90,https://storage.googleapis.com/emenu_webview/webview.html?SiteID=262f592b-0e17-4aa1-83a9-f38ba7449c18&p=1,,,פעיל
פיצה שמש,פיצרייה,חלבי,רח' משה שרת 3,עפולה,04-646-4777,,,"בד""צ העדה החרדית ירושלים",,,https://mdafula.org.il/restaurant/76,,,,פעיל
פיצה סטורי,פיצרייה,חלבי,שדרות ארלוזורוב 18,עפולה,04-848-3392,,,,,,https://mdafula.org.il/restaurant/72,,,,פעיל
פיצריית ברכת השם,פיצרייה,חלבי,רח' הרצל 27,עפולה עילית,053-622-4634,073-730-3555,,"הרב לנדא ב""ב",,,https://mdafula.org.il/restaurant/168,,,,פעיל
קונדיטוריית הברמן,מאפייה וקונדיטוריה,"פרווה, חלבי",רח' קהילת ציון 4,עפולה,04-652-3242,,,,,,https://mdafula.org.il/restaurant/171,,,,פעיל
פיצרייה ומאפים זוהר,פיצרייה ומסעדה,חלבי,שדרות יצחק רבין 6,עפולה,04-640-0009,,,,,,https://mdafula.org.il/restaurant/114,https://www.facebook.com/pizzahamo/?locale=he_IL,,,לא פעיל
גלידריית האומן,גלידרייה ומזנון מהיר,חלבי,רח' צבי פנקס 2,עפולה עילית,077-526-7947,,,"בד""צ רבני הקהילות עפולה",,,https://mdafula.org.il/restaurant/181,,,,פעיל
מאפיית ברכת שוהם,מאפייה ופיצרייה,"פרווה, חלבי",רח' יצחק שדה,עפולה עילית,050-266-8832,,,"הרב לנדא ב""ב",,,https://mdafula.org.il/restaurant/131,,,,פעיל
מאפיית ברכת משה,מאפייה,"פרווה, חלבי",רח' הנשיא חיים ויצמן 17,עפולה,053-400-0121,,,"בד""צ העדה החרדית ירושלים",,,https://mdafula.org.il/restaurant/21,,,,פעיל
טשולנטזיץ,מזנון מהיר,בשרי,רח' קרן קיימת לישראל 24,עפולה עילית,052-202-5655,,,"הרב לנדא ב""ב",,,https://mdafula.org.il/restaurant/35,,,,פעיל
יש חסד,מרכול,,רח' צבי פנקס 24,עפולה עילית,,,,,"בד""צ העדה החרדית ירושלים",ההשגחה מתייחסת לפירות ולירקות במשקל.,https://mdafula.org.il/restaurant/142,,,,פעיל
פיצוחי הגבעה,פיצוחים ותבלינים,,רח' פשוש 3,גבעת המורה,,,,"בד""צ רבני הקהילות עפולה","בד""צ העדה החרדית ירושלים ו/או הרב לנדא ב""ב","פיצוחים, תבלינים, פירות יבשים, קטניות וממתקים — במשקל ובאריזה.",https://mdafula.org.il/restaurant/208,,,,פעיל
פיצה בעמק,פיצרייה,חלבי,רח' הנרייטה סולד 34,גבעת המורה,04-602-2260,052-705-7702,,"בד""צ רבני הקהילות עפולה","בד""צ העדה החרדית ירושלים ו/או הרב לנדא ב""ב",,https://mdafula.org.il/restaurant/215,,,,פעיל
פיצה פרפקטו,פיצרייה,חלבי,"רח' אליעזר קפלן 8, מרכז מסחרי",עפולה עילית,04-642-1143,,,"בד""צ העדה החרדית ירושלים",,,https://mdafula.org.il/restaurant/74,,,,פעיל
פלאפל של מאמא רחל,פלאפל,פרווה,"רח' אליעזר קפלן 8, מרכז מסחרי",עפולה עילית,04-642-1143,053-340-3448,,,,הטלפון השני מיועד להזמנת משלוחים.,https://mdafula.org.il/restaurant/242,,,,פעיל
רימיני 770,,חלבי,רח' דוד רמז 10,עפולה עילית,050-872-8770,,,"הרב לנדא ב""ב",,,,,,,לא פעיל
"מאפיית הרשב""י",מאפייה,"פרווה, חלבי",רח' קייס מולגוטה אדיסו טסמה 3,עפולה עילית,,,,,"בד""צ העדה החרדית ירושלים ו/או הרב לנדא ב""ב",,https://mdafula.org.il/restaurant/44,,,,פעיל
פלאפל הנשיא - קהילת ציון,פלאפל,בשרי,רח' קהילת ציון 42 / חרוד 2,עפולה,054-664-4786,,https://maps.app.goo.gl/4oB5XrApUHa6ya6C6,,,"פרט לכרוב הכבוש ולחריסה שבעסק, שהינם בכשרויות אחרות. *אין אחריות על משלוחים והזמנות לאירועים מחוץ לעסק ללא תעודת כשרות יומית.*",https://mdafula.org.il/restaurant/81,,,,פעיל
גישמאק,חנות פינוקים ואוכל לשבת,"בשרי, פרווה, חלבי",,עפולה עילית,053-317-4353,,,"בד""צ רבני הקהילות עפולה","בד""צ העדה החרדית ירושלים ו/או הרב לנדא ב""ב","מאפים, פופקורן טרי, סלטים ועונג שבת, פיצוחים קלויים, שוקולדים, ג'לים, ממתקים, עיתונים ומוצרי מתנה והוקרה.",https://mdafula.org.il/restaurant/271,,,,פעיל
